,Year,Organization,Recipient,Amount,Description
500,2021,EA Animal Welfare Fund,Effective Altruism Singapore,100000.0,1-year funding to set up a new fellowship programme for building a talent pipeline for FAW work in Southeast Asia
501,2021,Open Philanthropy,SPCA Selangor,99000.0,SPCA Selangor — Cage-Free Campaigns
502,2021,EA Animal Welfare Fund,Africa Network for Animal Welfare (ANAW),96000.0,Establish the status of caged chicken farming in East Africa and share results in a regional conference and through media
503,2021,Animal Charity Evaluators,Anima International,93217.02,Recommended Charity Fund
504,2021,Animal Charity Evaluators,Compassion in World Farming USA,93217.02,Recommended Charity Fund
505,2021,Animal Charity Evaluators,Dharma Voices for Animals,93217.02,Recommended Charity Fund
506,2021,Animal Charity Evaluators,Essere Animali,93217.02,Recommended Charity Fund
507,2021,Animal Charity Evaluators,Material Innovation Initiative,93217.02,Recommended Charity Fund
508,2021,Animal Charity Evaluators,Mercy For Animals,93217.02,Recommended Charity Fund
509,2021,Animal Charity Evaluators,New Harvest,93217.02,Recommended Charity Fund
510,2021,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),93217.02,Recommended Charity Fund
511,2021,Animal Charity Evaluators,Sinergia Animal,93217.02,Recommended Charity Fund
512,2021,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,93217.02,Recommended Charity Fund
513,2021,Animal Charity Evaluators,Standout Charity working in China2,93217.02,Recommended Charity Fund
514,2021,Animal Charity Evaluators,Vegetarianos Hoy,93217.02,Recommended Charity Fund
515,2021,Animal Charity Evaluators,xiaobuVEGAN,93217.02,Recommended Charity Fund
516,2021,EA Animal Welfare Fund,Crustacean Compassion,92000.0,"Investigation into the sea-to-plate journey for decapod crustaceans, with outputs leveraged through a policy expert"
517,2021,EA Animal Welfare Fund,Anima International,88000.0,Increasing Anima International’s medium-risk operating budget for European broiler advocacy in the 2nd half of 2021
518,2021,Open Philanthropy,People for Animals Uttarakhand,85000.0,People for Animals Uttarakhand — Farm Animal Welfare Fellowship
519,2021,EA Animal Welfare Fund,Vegans of Shanghai/xiaobuVEGAN,80000.0,Budget to build a laser-focused vegan advocacy organisation that can hire highly qualified professionals
520,2021,Open Philanthropy,Rethink Charity,79040.0,Rethink Charity — Farm Animal Welfare Movement Building
521,2021,EA Animal Welfare Fund,Alene Anello,76000.0,Launching a litigation nonprofit called Legal Impact for Chickens (LIC) to make factory farm cruelty a liability
522,2021,EA Animal Welfare Fund,Advocates for Animals,75000.0,Annual salary for two solicitors offering legal support for impactful animal advocacy organisations
523,2021,EA Animal Welfare Fund,Global Food Partners,75000.0,Establishing the first Chinese online cage-free egg production training program
524,2021,Animal Charity Evaluators,Factory Farming Law & Policy Fellowship Program,75000.0,Movement Grants
525,2021,Open Philanthropy,Crate-Free Illinois,70350.0,Crate-Free Illinois — Campaigning Against Gestation Crates (2021)
526,2021,EA Animal Welfare Fund,Expertise for Animals,70000.0,Founding an organisation supporting the animal advocacy movement by providing well-prepared content & individual consultation
527,2021,Open Philanthropy,Mercy For Animals,69750.0,Mercy for Animals — The People’s Fund
528,2021,EA Animal Welfare Fund,Eurogroup for Animals,68000.0,"Staff costs to hinder EU deregulation on insect farming through research, coordination, and lobbying"
529,2021,EA Animal Welfare Fund,Animal Rights Organization EVA (EcoVegAnimals),67000.0,Campaigning for implementation of Animal Protection Law of B&H
530,2021,EA Animal Welfare Fund,"Marifel ""Ging "" Geronimo",64000.0,One year of 1.25 FTE funding to do community building on effective animal advocacy in the Philippines
531,2021,EA Animal Welfare Fund,Animal Kingdom Foundation Inc,62000.0,"Covers research costs, public awareness, and social media local branding campaign expenses, materials, and salaries"
532,2021,EA Animal Welfare Fund,Sentient Media,60000.0,12-month project providing digital marketing/training/content production to high-impact farmed animal advocacy group
533,2021,EA Animal Welfare Fund,Global Food Partners,60000.0,Multi-language translation and further development of our cage-free egg production training materials
534,2021,Animal Charity Evaluators,Encompass,60000.0,Movement Grants
535,2021,Animal Charity Evaluators,Food Empowerment Project,60000.0,Movement Grants
536,2021,Animal Charity Evaluators,Sentient Media,60000.0,Movement Grants
537,2021,EA Animal Welfare Fund,"OBRAZ - Obranci zvirat, z. s.",57200.0,Rostlinně - a project promoting plant-based lifestyle and supporting companies in introducing and promoting plant foods.
538,2021,Open Philanthropy,Korean Animal Welfare Association,57000.0,Korean Animal Welfare Association — Cage-Free Layer Hen Farming
539,2021,EA Animal Welfare Fund,Plant Based Foods Association,50000.0,12-month contract with a consultant to work with major food service companies to expand their plant-based foods portfolio
540,2021,EA Animal Welfare Fund,Conservative Animal Welfare Foundation,50000.0,1-year salary for a full-time EA-aligned research analyst to conduct research and draft policy briefs for CAWF
541,2021,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,50000.0,Continue accountability with companies that have already committed to banning chicken cages
542,2021,EA Animal Welfare Fund,Veganuary,50000.0,Upgrade Latin American staff from freelance to full-time employment contracts to increase corporate engagement success
543,2021,EA Animal Welfare Fund,Effective Giving Quest,50000.0,Creation of a new organisation that increases the philanthropic impact of the gaming space via promotion of EA and EAA charities
544,2021,EA Animal Welfare Fund,Federation of Indian Animal Protection Organisations (FIAPO),50000.0,Project cost to persuade concerned departments to issue a policy framework for the aquaculture sector in two states
545,2021,EA Animal Welfare Fund,Institute of Animal Law of Asia,50000.0,1-year fees and salary for an educational center for legal research and information on the animal law and policy issues in Asia
546,2021,Animal Charity Evaluators,ACTAsia,50000.0,Movement Grants
547,2021,Animal Charity Evaluators,Grassroots Artists Movement Inc.,50000.0,Movement Grants
548,2021,Animal Charity Evaluators,Society for the Prevention of Cruelty to Animals Selangor,50000.0,Movement Grants
549,2021,Animal Charity Evaluators,Albert Schweitzer Foundation,49396.0,Recommended Charity Fund
550,2021,Animal Charity Evaluators,The Good Food Institute,49396.0,Recommended Charity Fund
551,2021,Animal Charity Evaluators,The Humane League,49396.0,Recommended Charity Fund
552,2021,Animal Charity Evaluators,Wild Animal Initiative,49396.0,Recommended Charity Fund
553,2021,EA Animal Welfare Fund,Humánny pokrok (Humane progress),49000.0,"A plan to win a ban on caging hens, and for equal VAT on plant-based milk in Slovakia with fundraising support"
554,2021,EA Animal Welfare Fund,Animal Rights Center Japan,45200.0,One year of employment for corporate outreach staff to improve broiler breeding and slaughter methods for broilers and spent hens
555,2021,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),45000.0,12-month salary for current staff and two part-time grassroots volunteer managers for corporate cage-free campaigns
556,2021,EA Animal Welfare Fund,Campaigns and Activism for Animals in the Industry (CAAI),44000.0,Two 12-month salaries and expenses to advocate for two bans in Bulgaria: fur farming and force-feeding of waterfowl
557,2021,Animal Charity Evaluators,Animal Ask,40000.0,Movement Grants
558,2021,Animal Charity Evaluators,Dharma Voices for Animals,40000.0,Movement Grants
559,2021,Animal Charity Evaluators,Equalia,40000.0,Movement Grants
560,2021,EA Animal Welfare Fund,Coalition of African Animal Welfare Organisations,39900.0,We will ensure animal welfare prioritisation during the aquaculture bill development process by engaging strategic actors.
561,2021,EA Animal Welfare Fund,(Anonymous),38000.0,"Alternative protein industry and data audit to assess viability of an industry tracker, "
562,2021,Animal Charity Evaluators,Institute of Animal Law of Asia,38000.0,Movement Grants
563,2021,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),36000.0,"One-year costs to conduct survey on farmed fish welfare in Tanzania, aiming at inclusion in the fisheries policy"
564,2021,EA Animal Welfare Fund,Animal Ask,35000.0,Completing focussed research through our Ask Prioritisation and Ask Consultation projects
565,2021,Animal Charity Evaluators,Christopher Sebastian,35000.0,Movement Grants
566,2021,Animal Charity Evaluators,We Animals Media,31000.0,Movement Grants
567,2021,EA Animal Welfare Fund,(Anonymous),30000.0,"We want to advocate for fish, which is not a prioritized topic even among local animal advocates and vegetarians"
568,2021,EA Animal Welfare Fund,Animal Protection Organization of Nigeria,30000.0,Community and corporate campaigns towards embracing cage-free egg policy in Nigeria
569,2021,EA Animal Welfare Fund,FÓRUM NACIONAL DE PROTEÇÃO E DEFESA ANIMAL,30000.0,"Proposition of a ""cage-free only"" policy in different municipalities in Brazil in colaboration with city councilors"
570,2021,EA Animal Welfare Fund,Cellular Agriculture Australia Ltd,30000.0,Salary for a National Research Manager and six research scholarships in cellular agriculture to scale alternative proteins
571,2021,EA Animal Welfare Fund,Modern Agriculture Foundation,30000.0,Promote the establishment of an alternative protein dedicated industrial scale co-manufacturing site (CMO)
572,2021,Animal Charity Evaluators,Expertise for Animals,30000.0,Movement Grants
573,2021,Animal Charity Evaluators,Perkumpulan Sahabat Satwa Jogja,30000.0,Movement Grants
574,2021,Animal Charity Evaluators,Sentient,30000.0,Movement Grants
575,2021,Open Philanthropy,Mount Kenya University,29886.0,Mount Kenya University — Farm Animal Welfare Science Masters Program
576,2021,EA Animal Welfare Fund,WANBAM,27000.0,"We support a global community of women, non-binary, and trans people inspired by Effective Altruism through mentoring"
577,2021,Animal Charity Evaluators,Anima International,26832.0,Recommended Charity Fund
578,2021,Animal Charity Evaluators,Compassion in World Farming USA,26832.0,Recommended Charity Fund
579,2021,Animal Charity Evaluators,Essere Animali,26832.0,Recommended Charity Fund
580,2021,Animal Charity Evaluators,Faunalytics,26832.0,Recommended Charity Fund
581,2021,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),26832.0,Recommended Charity Fund
582,2021,Animal Charity Evaluators,Sinergia Animal,26832.0,Recommended Charity Fund
583,2021,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,26832.0,Recommended Charity Fund
584,2021,Animal Charity Evaluators,Standout Charity working in China3,26832.0,Recommended Charity Fund
585,2021,Animal Charity Evaluators,Vegetarianos Hoy,26832.0,Recommended Charity Fund
586,2021,EA Animal Welfare Fund,Credence Institute NPC (registered non-profit company in South Africa) on behalf of Animal Advocacy Africa (currently a program of Credence Institute).,26000.0,3-month salary/running cost of a pilot program connecting and helping African animal advocacy organisations with funding
587,2021,EA Animal Welfare Fund,Education for African Animal Welfare,25510.0,We will pack cage-free information in a simple way and share it through various channels to advocate for chicken welfare
588,2021,EA Animal Welfare Fund,"Society for the Prevention of Cruelty to Animals (SPCA) Selangor, Malaysia",25000.0,12-month plant-based advocacy and campaigning and 12-month cage-free campaigning
589,2021,EA Animal Welfare Fund,Arba,25000.0,"1) Salary for one year of part-time work in economics and statistics, development of numerical data and surveys to impro"
590,2021,Animal Charity Evaluators,Agriculture Fairness Alliance,25000.0,Movement Grants
591,2021,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,25000.0,Movement Grants
592,2021,Animal Charity Evaluators,Česká Veganská Společnost,25000.0,Movement Grants
593,2021,Animal Charity Evaluators,Southern African Faith Communities Environment Institute,25000.0,Movement Grants
594,2021,EA Animal Welfare Fund,Alliance for Animals (Ukraine division),24000.0,"12-month salaries for two employees working on a cage-free eggs project, ""Spread wings"", in Ukraine"
595,2021,Animal Charity Evaluators,Veg Student Alliance,24000.0,Movement Grants
596,2021,Animal Charity Evaluators,World Day for the End of Fishing,24000.0,Movement Grants
597,2021,Animal Charity Evaluators,UK Centre for Animal Law,23000.0,Movement Grants
598,2021,Animal Charity Evaluators,Associação Vegetariana Portuguesa,22000.0,Movement Grants
599,2021,EA Animal Welfare Fund,Faunalytics,21000.0,"Meta-analysis looking for substitution effects during animal product reduction efforts, especially for chicken and fish"
600,2021,EA Animal Welfare Fund,Sociedade Vegetariana Brasileira,20000.0,Meat reduction in public services of two Brazilian cities
601,2021,EA Animal Welfare Fund,(Anonymous),20000.0,Research on wild animal welfare rhetoric
602,2021,Animal Charity Evaluators,Animal Law Europe,20000.0,Movement Grants
603,2021,Animal Charity Evaluators,Cellular Agriculture Australia,20000.0,Movement Grants
604,2021,Animal Charity Evaluators,Peace Advocacy Network,20000.0,Movement Grants
605,2021,EA Animal Welfare Fund,Protección Animal Ecuador,18000.0,12-month salary to hire a lawyer to establish the legal base of the banning of cage systems in Ecuador
606,2021,Animal Charity Evaluators,Menú por el Planeta,18000.0,Movement Grants
607,2021,EA Animal Welfare Fund,WellBeing International,15120.0,Produce a comprehensive scholarly review of invertebrate sentience and promote it globally via webinars and social media
608,2021,Open Philanthropy,Faunalytics,15000.0,Faunalytics — Farm Animal Welfare Goal Setting and Impact Tracking
609,2021,EA Animal Welfare Fund,Environment & Animal Society of Taiwan (EAST),15000.0,Three additional mini-grants for student teams to launch their own innovative cage-free campaigns in Taiwan
610,2021,Animal Charity Evaluators,Vegan Caribbean Kickstart,15000.0,Movement Grants
611,2021,EA Animal Welfare Fund,(Anonymous),12000.0,"6-month part-time salary to create compelling stories for the welfare of fish, crustaceans and chickens"
612,2021,EA Animal Welfare Fund,Daniel Grimwade,12000.0,640 hours of salary to research actions that could reduce the number of fish/insects killed for fish feed
613,2021,EA Animal Welfare Fund,Fish Welfare Initiative,10000.0,Six months of strategic consultancy/coaching for four members of our team
614,2021,EA Animal Welfare Fund,Animal Friends Jogja (AFJ),10000.0,A 12-month salary for a government advocacy officer to concentrate full-time on Cage Free legislative change advocacy
615,2021,EA Animal Welfare Fund,Andrew Fisher,10000.0,3-month salary to conduct research on ways to improve welfare of urban vertebrate wild animals (in sub-Saharan Africa)
616,2021,Animal Charity Evaluators,Asociación para el Rescate y Bienestar de Los Animales,10000.0,Movement Grants
617,2021,Animal Charity Evaluators,Asociația de Conștientizare a Industriei Agricole,10000.0,Movement Grants
618,2021,Animal Charity Evaluators,Demissew Bekele,10000.0,Movement Grants
619,2021,Animal Charity Evaluators,Rostlinně,10000.0,Movement Grants
620,2021,EA Animal Welfare Fund,Che Green,7500.0,150 hours of research and writing on methods to reduce urban rat/mice populations and alternatives to mitigate suffering
621,2021,EA Animal Welfare Fund,Nicolas Delon,6800.0,Research support and summer salary to review neglected and tractable issues concerning urban animal welfare
622,2021,EA Animal Welfare Fund,Lu Chen,4700.0,Support conducting the first conference session on fish welfare in China enabling future advocacy and my career entry
623,2021,Animal Charity Evaluators,Shamayim: Jewish Animal Advocacy,4000.0,Movement Grants
624,2020,Open Philanthropy,The Humane League,3600000.0,The Humane League — Open Wing Alliance (2020)
625,2020,Open Philanthropy,Animal Equality,1901000.0,Animal Equality — Cage-Free and Broiler Welfare
626,2020,Open Philanthropy,L214,1642046.0,L214 — Broiler Welfare Campaigns in France (2020)
627,2020,Open Philanthropy,Compassion in World Farming,1391971.0,Compassion in World Farming — Farm Animal Welfare in Asia
628,2020,Open Philanthropy,Rethink Priorities,910000.0,Rethink Priorities — Farm Animal Welfare Research (2020)
629,2020,Open Philanthropy,theguardian.org,900000.0,theguardian.org — Journalism on Factory Farming and Animal Cruelty (2020)
630,2020,Open Philanthropy,Sinergia Animal,800000.0,Sinergia Animal — Corporate Cage-Free Campaigns
631,2020,Open Philanthropy,Center for Welfare Metrics,784586.0,Center for Welfare Metrics — Impacts of Animal Welfare Reforms (2020)
632,2020,Open Philanthropy,Group Nine Media,680448.0,Group Nine Media — Factory Farming Videos (2020)
633,2020,Open Philanthropy,Animal Charity Evaluators,650000.0,Animal Charity Evaluators — General Support (2020)
634,2020,Open Philanthropy,Eurogroup for Animals,635000.0,Eurogroup for Animals — EU Chicken Welfare Advocacy (2020)
635,2020,Open Philanthropy,fair-fish international association,630370.0,fair-fish international association — General Support
636,2020,Open Philanthropy,Environment & Animal Society of Taiwan,521000.0,Environment & Animal Society of Taiwan — Farm Animal Welfare Campaigns
637,2020,Open Philanthropy,We Animals Media,517000.0,We Animals Media — Content for Farm Animal Welfare Advocacy (2020)
638,2020,Open Philanthropy,The Humane League-UK,507900.0,The Humane League-UK — General Support
639,2020,Open Philanthropy,Foundation for Food and Agriculture Research,500000.0,Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2020)
640,2020,Open Philanthropy,Conservative Animal Welfare Foundation,488467.0,Conservative Animal Welfare Foundation — Farm Animal Welfare Advocacy
641,2020,Open Philanthropy,Essere Animali,462974.0,Essere Animali — Farm Animal Welfare Work in Italy (2020)
642,2020,Open Philanthropy,Catalyst,447000.0,Catalyst — Farm Animal Welfare i﻿n Thailand
643,2020,Open Philanthropy,Foundation for Food and Agriculture Research,444000.0,Foundation for Food and Agriculture Research — Chickpea and Corn Zein Research
644,2020,Open Philanthropy,Animal Advocacy Careers,432000.0,Animal Advocacy Careers — General Support
645,2020,Open Philanthropy,Royal Society for the Prevention of Cruelty to Animals,425000.0,Royal Society for the Prevention of Cruelty to Animals — Broiler Chicken Welfare Outreach
646,2020,Open Philanthropy,University of Bern,410000.0,University of Bern — Layer Hen Breeding Research
647,2020,Open Philanthropy,World Animal Protection,400000.0,World Animal Protection — Farm Animal Welfare in Southeast Asia
648,2020,Open Philanthropy,Soko Tierschutz,297291.0,Soko Tierschutz — Factory Farm Investigations (2020)
649,2020,Open Philanthropy,Animal Nepal,271700.0,Animal Nepal — Farm Animal Welfare
650,2020,Open Philanthropy,Charity Entrepreneurship,260000.0,Charity Entrepreneurship — Development of New Animal Welfare Charities (2020)
651,2020,Open Philanthropy,International Society for Applied Ethology,229830.0,International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020)
652,2020,Open Philanthropy,Material Innovation Initiative,200000.0,Material Innovation Initiative — Plant-Based Fashion Alternatives
653,2020,Open Philanthropy,Food Frontier,200000.0,Food Frontier — Plant-Based Meat Alternatives
654,2020,Open Philanthropy,Encompass,200000.0,Encompass — Diversity in the Farm Animal Welfare Movement
655,2020,Open Philanthropy,University of Missouri,189000.0,University of Missouri — Animal Welfare Research
656,2020,Open Philanthropy,,156781.0,Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research
657,2020,Open Philanthropy,Dharma Voices for Animals,150000.0,Dharma Voices for Animals — Farm Animal Welfare Legislation
658,2020,Open Philanthropy,Equalia,150000.0,Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations
659,2020,Open Philanthropy,Alianima,130000.0,Alianima — General Support
660,2020,Animal Charity Evaluators,Albert Schweitzer Foundation,110448.79,Recommended Charity Fund
661,2020,Animal Charity Evaluators,The Good Food Institute,110448.79,Recommended Charity Fund
662,2020,Animal Charity Evaluators,The Humane League,110448.79,Recommended Charity Fund
663,2020,Animal Charity Evaluators,Wild Animal Initiative,110448.79,Recommended Charity Fund
664,2020,Open Philanthropy,University of Glasgow,109552.0,University of Glasgow — Animal Welfare Research
665,2020,Open Philanthropy,VegeProject,102400.0,VegeProject — Corporate Outreach (2020)
666,2020,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,100000.0,Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2020)
667,2020,Open Philanthropy,New York University,95000.0,New York University — Work on Fish Welfare (2020)
668,2020,Open Philanthropy,GLOBALG.A.P.,90554.0,GLOBALG.A.P. — Fish Welfare Standards
669,2020,Open Philanthropy,Compassion in World Farming USA,78750.0,Compassion in World Farming USA — Global EggTrack Program
670,2020,Open Philanthropy,Animal Friends Jogja,78000.0,Animal Friends Jogja — Farm Animal Welfare Work
671,2020,Open Philanthropy,The Pollination Project,75800.0,The Pollination Project — Farm Animal and Veg Advocacy Conference
672,2020,Open Philanthropy,"Animal Welfare Awareness, Research, and Education",64600.0,"Animal Welfare Awareness, Research, and Education — Farm Animal Welfare Work"
673,2020,Open Philanthropy,Humane Society International,60000.0,Humane Society International — African Swine Fever Training (2020)
674,2020,Animal Charity Evaluators,Anima International,59996.87,Recommended Charity Fund
675,2020,Animal Charity Evaluators,Compassion in World Farming USA,59996.87,Recommended Charity Fund
676,2020,Animal Charity Evaluators,Essere Animali,59996.87,Recommended Charity Fund
677,2020,Animal Charity Evaluators,Faunalytics,59996.87,Recommended Charity Fund
678,2020,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),59996.87,Recommended Charity Fund
679,2020,Animal Charity Evaluators,Sinergia Animal,59996.87,Recommended Charity Fund
680,2020,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,59996.87,Recommended Charity Fund
681,2020,Animal Charity Evaluators,Standout Charity working in China4,59996.87,Recommended Charity Fund
682,2020,Animal Charity Evaluators,Vegetarianos Hoy,59996.87,Recommended Charity Fund
683,2020,Open Philanthropy,Animal Outlook,44200.0,Animal Outlook — Factory Farm Investigations Media Coverage
684,2020,Open Philanthropy,Impact Alliance,40000.0,Impact Alliance — Cage-Free Program
685,2020,Animal Charity Evaluators,xiaobuVEGAN,40000.0,Movement Grants
686,2020,Open Philanthropy,World Animal Net,37600.0,World Animal Net — Broiler Chicken and Pig Welfare Guidelines
687,2020,Animal Charity Evaluators,Encompass,35000.0,Movement Grants
688,2020,Animal Charity Evaluators,Rethink Priorities,35000.0,Movement Grants
689,2020,Animal Charity Evaluators,Vegans of Shanghai,35000.0,Movement Grants
690,2020,Animal Charity Evaluators,Aquatic Animals Alliance,30000.0,Movement Grants
691,2020,Animal Charity Evaluators,Aquatic Life Institute,30000.0,Movement Grants
692,2020,Animal Charity Evaluators,Wild Animal Initiative,30000.0,Movement Grants
693,2020,Animal Charity Evaluators,Counterfactual Institute,27500.0,Movement Grants
694,2020,Animal Charity Evaluators,Material Innovation Initiative,25000.0,Movement Grants
695,2020,Animal Charity Evaluators,Vegetarianos Hoy,25000.0,Movement Grants
696,2020,Open Philanthropy,Vegan Women Summit,20000.0,Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition
697,2020,Animal Charity Evaluators,Sentient,20000.0,Movement Grants
698,2020,Animal Charity Evaluators,Strategies for Ethical and Environmental Development,19000.0,Movement Grants
699,2020,Animal Charity Evaluators,Albert Schweitzer Foundation,17744.0,Recommended Charity Fund
700,2020,Animal Charity Evaluators,Anima International,17744.0,Recommended Charity Fund
701,2020,Animal Charity Evaluators,The Good Food Institute,17744.0,Recommended Charity Fund
702,2020,Animal Charity Evaluators,The Humane League,17744.0,Recommended Charity Fund
703,2020,Open Philanthropy,Commonwealth Veterinary Association,15000.0,Commonwealth Veterinary Association — Farm Animal Welfare
704,2020,Animal Charity Evaluators,Animal Justice Project,15000.0,Movement Grants
705,2020,Animal Charity Evaluators,Dansk Vegetarisk Forening,15000.0,Movement Grants
706,2020,Animal Charity Evaluators,Essere Animali,15000.0,Movement Grants
707,2020,Animal Charity Evaluators,People For Animals Uttarakhand,15000.0,Movement Grants
708,2020,Animal Charity Evaluators,Modern Agriculture Foundation,15000.0,Movement Grants
709,2020,Animal Charity Evaluators,Nonhuman Rights Project,15000.0,Movement Grants
710,2020,Animal Charity Evaluators,UK Centre for Animal Law,15000.0,Movement Grants
711,2020,Animal Charity Evaluators,Compassion in World Farming USA,14195.0,Recommended Charity Fund
712,2020,Animal Charity Evaluators,Faunalytics,14195.0,Recommended Charity Fund
713,2020,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),14195.0,Recommended Charity Fund
714,2020,Animal Charity Evaluators,Sinergia Animal,14195.0,Recommended Charity Fund
715,2020,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,14195.0,Recommended Charity Fund
716,2020,Open Philanthropy,Reducetarian Foundation,14190.0,Reducetarian Foundation — Fish Consumption Messaging Research
717,2020,Animal Charity Evaluators,Dyrevernalliansen,12000.0,Movement Grants
718,2020,Animal Charity Evaluators,Freedom and Respect for Everything Earthling,12000.0,Movement Grants
719,2020,Animal Charity Evaluators,The Greenfield Project,11250.0,Movement Grants
720,2020,Animal Charity Evaluators,Augi & Draugi,11245.0,Movement Grants
721,2020,Animal Charity Evaluators,Black VegFest,10000.0,Movement Grants
722,2020,Animal Charity Evaluators,Coalition of African Animal Welfare Organisations,10000.0,Movement Grants
723,2020,Animal Charity Evaluators,Factory Farming Awareness Coalition,10000.0,Movement Grants
724,2020,Animal Charity Evaluators,Perla Anerol Sifuentes García,10000.0,Movement Grants
725,2020,Animal Charity Evaluators,Reimagine Agriculture,10000.0,Movement Grants
726,2020,Animal Charity Evaluators,Rostlinně,10000.0,Movement Grants
727,2020,Animal Charity Evaluators,The Animal House Jamaica,10000.0,Movement Grants
728,2020,Animal Charity Evaluators,Vegan Carribean Kickstart,10000.0,Movement Grants
729,2020,Animal Charity Evaluators,Vegan Outreach,10000.0,Movement Grants
730,2020,Animal Charity Evaluators,Animal Advocacy Careers,10000.0,Movement Grants
731,2020,Animal Charity Evaluators,Animal Justice,10000.0,Movement Grants
732,2020,Animal Charity Evaluators,Associação Vegetariana Portuguesa,10000.0,Movement Grants
733,2020,Animal Charity Evaluators,Center for Animal Law Studies,10000.0,Movement Grants
734,2020,Animal Charity Evaluators,World Day for the End of Fishing,10000.0,Movement Grants
735,2020,Open Philanthropy,Vegan Women Summit,5000.0,Vegan Women Summit — General Support
736,2020,Animal Charity Evaluators,Arvind Animal Activist,5000.0,Movement Grants
737,2020,Animal Charity Evaluators,Christopher Sebastian McJetters,5000.0,Movement Grants
738,2020,Animal Charity Evaluators,Réseau Sentience,5000.0,Movement Grants
739,2020,Animal Charity Evaluators,VivaBiH,5000.0,Movement Grants
740,2020,Animal Charity Evaluators,Menú por el Planeta,4000.0,Movement Grants
741,2020,Animal Charity Evaluators,SHAMAYIM: Jewish Animal Advocacy,4000.0,Movement Grants
742,2019,Open Philanthropy,Mercy For Animals,6638000.0,Mercy For Animals — Corporate Campaigns (2019)
743,2019,Open Philanthropy,The Good Food Institute,4000000.0,The Good Food Institute — International Work
744,2019,Open Philanthropy,Compassion in World Farming,2169429.0,Compassion in World Farming — Fish Welfare and Efforts to End Cages (2019)
745,2019,Open Philanthropy,Anima International,1700000.0,Anima International — Chicken Welfare Campaigns (2019)
746,2019,Open Philanthropy,Albert Schweitzer Foundation,1600000.0,Albert Schweitzer Foundation — General Support (2019)
747,2019,Open Philanthropy,The Humane League,1565000.0,The Humane League — Open Wing Alliance (2019)
748,2019,Open Philanthropy,Humane Society International India,1039124.0,Humane Society International India — Animal Welfare Reform (2019)
749,2019,Open Philanthropy,Global Animal Partnership,1000000.0,Global Animal Partnership — Farm Animal Welfare Activities (2019)
750,2019,Open Philanthropy,World Animal Protection,781498.0,World Animal Protection — Broiler Chicken Welfare (April 2019)
751,2019,Open Philanthropy,The Humane League,750000.0,The Humane League — Broiler Welfare Campaigns
752,2019,Open Philanthropy,"University of California, Berkeley",700000.0,UC Berkeley — Alternative Meats Lab (October 2019)
753,2019,Open Philanthropy,Eurogroup for Animals,700000.0,Eurogroup for Animals — European Union Trade Strategy
754,2019,Open Philanthropy,Plant Based Foods Association,625000.0,Plant Based Foods Association — State-Level Policy (2019)
755,2019,Open Philanthropy,Humane Slaughter Association,570402.0,Humane Slaughter Association — Wild-Caught Fish Welfare
756,2019,Open Philanthropy,World Animal Protection,557446.0,World Animal Protection — Broiler Chicken Welfare (August 2019)
757,2019,Open Philanthropy,Federation of Indian Animal Protection Organisations,445000.0,Federation of Indian Animal Protection Organisations — India Farm Animal Welfare (2019)
758,2019,Open Philanthropy,FAI Farms,426000.0,FAI Farms — Tilapia Welfare
759,2019,Open Philanthropy,Anima,367222.0,Anima — Movement Building
760,2019,Open Philanthropy,The Pollination Project,362000.0,The Pollination Project — Global Animal Advocacy Movement (2019)
761,2019,Open Philanthropy,Animal Rights Center Japan,274000.0,Animal Rights Center Japan — Broiler and Layer Hen Campaigns
762,2019,Open Philanthropy,Mercy For Animals,261000.0,Mercy For Animals — Broiler Welfare Campaigns
763,2019,Open Philanthropy,The Greenfield Project,250000.0,The Greenfield Project — General Support (2019)
764,2019,Open Philanthropy,Compassion Over Killing,250000.0,Compassion Over Killing — Exit Grant
765,2019,Open Philanthropy,Sinergia Animal,245000.0,Sinergia Animal — General Support (2019)
766,2019,Open Philanthropy,We Animals,240000.0,We Animals — Content for Farm Animal Welfare Advocacy (2019)
767,2019,Open Philanthropy,Animal Kingdom Foundation,237866.0,Animal Kingdom Foundation — Corporate Campaigns (September 2019)
