Year,Organization,Recipient,Amount,Description
2021,Open Philanthropy,Anima International,"$152,000.00",Anima International — Farm Animal Welfare Work
2021,EA Animal Welfare Fund,(Anonymous),"$150,000.00",Alternative protein advocacy.
2021,EA Animal Welfare Fund,Insect Welfare Project (temporary name),"$134,810.00",Launch campaigns targeting investors in insect farming and consider lobbying to slow the growth of the sector
2021,EA Animal Welfare Fund,Sentience Politics,"$125,000.00",We leverage direct democracy in the form of a ballot initiative in order to abolish factory farming in Switzerland
2021,EA Animal Welfare Fund,The Humane League UK,"$119,387.00",5-month salary for five staff members to gain welfare commitments from companies for laying hens and broilers
2021,Open Philanthropy,Sneha’s Care,"$110,050.00",Sneha’s Care — Dairy Welfare Regulations
2021,EA Animal Welfare Fund,Animals Aotearoa,"$103,000.00","Progress the work of Animals Aotearoa, the only NGO working on chicken corporate welfare commitments in New Zealand"
2021,EA Animal Welfare Fund,(Anonymous),"$100,000.00",Advancing the animal welfare movement in Asia
2021,EA Animal Welfare Fund,Effective Altruism Singapore,"$100,000.00",1-year funding to set up a new fellowship programme for building a talent pipeline for FAW work in Southeast Asia
2021,Open Philanthropy,SPCA Selangor,"$99,000.00",SPCA Selangor — Cage-Free Campaigns
2021,EA Animal Welfare Fund,Africa Network for Animal Welfare (ANAW),"$96,000.00",Establish the status of caged chicken farming in East Africa and share results in a regional conference and through media
2021,Animal Charity Evaluators,Anima International,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Compassion in World Farming USA,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Dharma Voices for Animals,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Essere Animali,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Material Innovation Initiative,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Mercy For Animals,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,New Harvest,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Sinergia Animal,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Standout Charity working in China2,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,Vegetarianos Hoy,"$93,217.02",Recommended Charity Fund
2021,Animal Charity Evaluators,xiaobuVEGAN,"$93,217.02",Recommended Charity Fund
2021,EA Animal Welfare Fund,Crustacean Compassion,"$92,000.00","Investigation into the sea-to-plate journey for decapod crustaceans, with outputs leveraged through a policy expert"
2021,EA Animal Welfare Fund,Anima International,"$88,000.00",Increasing Anima International’s medium-risk operating budget for European broiler advocacy in the 2nd half of 2021
2021,Open Philanthropy,People for Animals Uttarakhand,"$85,000.00",People for Animals Uttarakhand — Farm Animal Welfare Fellowship
2021,EA Animal Welfare Fund,Vegans of Shanghai/xiaobuVEGAN,"$80,000.00",Budget to build a laser-focused vegan advocacy organisation that can hire highly qualified professionals
2021,Open Philanthropy,Rethink Charity,"$79,040.00",Rethink Charity — Farm Animal Welfare Movement Building
2021,EA Animal Welfare Fund,Alene Anello,"$76,000.00",Launching a litigation nonprofit called Legal Impact for Chickens (LIC) to make factory farm cruelty a liability
2021,EA Animal Welfare Fund,Advocates for Animals,"$75,000.00",Annual salary for two solicitors offering legal support for impactful animal advocacy organisations
2021,EA Animal Welfare Fund,Global Food Partners,"$75,000.00",Establishing the first Chinese online cage-free egg production training program
2021,Animal Charity Evaluators,Factory Farming Law & Policy Fellowship Program,"$75,000.00",Movement Grants
2021,Open Philanthropy,Crate-Free Illinois,"$70,350.00",Crate-Free Illinois — Campaigning Against Gestation Crates (2021)
2021,EA Animal Welfare Fund,Expertise for Animals,"$70,000.00",Founding an organisation supporting the animal advocacy movement by providing well-prepared content & individual consultation
2021,Open Philanthropy,Mercy For Animals,"$69,750.00",Mercy for Animals — The People’s Fund
2021,EA Animal Welfare Fund,Eurogroup for Animals,"$68,000.00","Staff costs to hinder EU deregulation on insect farming through research, coordination, and lobbying"
2021,EA Animal Welfare Fund,Animal Rights Organization EVA (EcoVegAnimals),"$67,000.00",Campaigning for implementation of Animal Protection Law of B&H
2021,EA Animal Welfare Fund,"Marifel ""Ging "" Geronimo","$64,000.00",One year of 1.25 FTE funding to do community building on effective animal advocacy in the Philippines
2021,EA Animal Welfare Fund,Animal Kingdom Foundation Inc,"$62,000.00","Covers research costs, public awareness, and social media local branding campaign expenses, materials, and salaries"
2021,EA Animal Welfare Fund,Sentient Media,"$60,000.00",12-month project providing digital marketing/training/content production to high-impact farmed animal advocacy group
2021,EA Animal Welfare Fund,Global Food Partners,"$60,000.00",Multi-language translation and further development of our cage-free egg production training materials
2021,Animal Charity Evaluators,Encompass,"$60,000.00",Movement Grants
2021,Animal Charity Evaluators,Food Empowerment Project,"$60,000.00",Movement Grants
2021,Animal Charity Evaluators,Sentient Media,"$60,000.00",Movement Grants
2021,EA Animal Welfare Fund,"OBRAZ - Obranci zvirat, z. s.","$57,200.00",Rostlinně - a project promoting plant-based lifestyle and supporting companies in introducing and promoting plant foods.
2021,Open Philanthropy,Korean Animal Welfare Association,"$57,000.00",Korean Animal Welfare Association — Cage-Free Layer Hen Farming
2021,EA Animal Welfare Fund,Plant Based Foods Association,"$50,000.00",12-month contract with a consultant to work with major food service companies to expand their plant-based foods portfolio
2021,EA Animal Welfare Fund,Conservative Animal Welfare Foundation,"$50,000.00",1-year salary for a full-time EA-aligned research analyst to conduct research and draft policy briefs for CAWF
2021,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,"$50,000.00",Continue accountability with companies that have already committed to banning chicken cages
2021,EA Animal Welfare Fund,Veganuary,"$50,000.00",Upgrade Latin American staff from freelance to full-time employment contracts to increase corporate engagement success
2021,EA Animal Welfare Fund,Effective Giving Quest,"$50,000.00",Creation of a new organisation that increases the philanthropic impact of the gaming space via promotion of EA and EAA charities
2021,EA Animal Welfare Fund,Federation of Indian Animal Protection Organisations (FIAPO),"$50,000.00",Project cost to persuade concerned departments to issue a policy framework for the aquaculture sector in two states
2021,EA Animal Welfare Fund,Institute of Animal Law of Asia,"$50,000.00",1-year fees and salary for an educational center for legal research and information on the animal law and policy issues in Asia
2021,Animal Charity Evaluators,ACTAsia,"$50,000.00",Movement Grants
2021,Animal Charity Evaluators,Grassroots Artists Movement Inc.,"$50,000.00",Movement Grants
2021,Animal Charity Evaluators,Society for the Prevention of Cruelty to Animals Selangor,"$50,000.00",Movement Grants
2021,Animal Charity Evaluators,Albert Schweitzer Foundation,"$49,396.00",Recommended Charity Fund
2021,Animal Charity Evaluators,The Good Food Institute,"$49,396.00",Recommended Charity Fund
2021,Animal Charity Evaluators,The Humane League,"$49,396.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Wild Animal Initiative,"$49,396.00",Recommended Charity Fund
2021,EA Animal Welfare Fund,Humánny pokrok (Humane progress),"$49,000.00","A plan to win a ban on caging hens, and for equal VAT on plant-based milk in Slovakia with fundraising support"
2021,EA Animal Welfare Fund,Animal Rights Center Japan,"$45,200.00",One year of employment for corporate outreach staff to improve broiler breeding and slaughter methods for broilers and spent hens
2021,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),"$45,000.00",12-month salary for current staff and two part-time grassroots volunteer managers for corporate cage-free campaigns
2021,EA Animal Welfare Fund,Campaigns and Activism for Animals in the Industry (CAAI),"$44,000.00",Two 12-month salaries and expenses to advocate for two bans in Bulgaria: fur farming and force-feeding of waterfowl
2021,Animal Charity Evaluators,Animal Ask,"$40,000.00",Movement Grants
2021,Animal Charity Evaluators,Dharma Voices for Animals,"$40,000.00",Movement Grants
2021,Animal Charity Evaluators,Equalia,"$40,000.00",Movement Grants
2021,EA Animal Welfare Fund,Coalition of African Animal Welfare Organisations,"$39,900.00",We will ensure animal welfare prioritisation during the aquaculture bill development process by engaging strategic actors.
2021,EA Animal Welfare Fund,(Anonymous),"$38,000.00","Alternative protein industry and data audit to assess viability of an industry tracker, "
2021,Animal Charity Evaluators,Institute of Animal Law of Asia,"$38,000.00",Movement Grants
2021,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),"$36,000.00","One-year costs to conduct survey on farmed fish welfare in Tanzania, aiming at inclusion in the fisheries policy"
2021,EA Animal Welfare Fund,Animal Ask,"$35,000.00",Completing focussed research through our Ask Prioritisation and Ask Consultation projects
2021,Animal Charity Evaluators,Christopher Sebastian,"$35,000.00",Movement Grants
2021,Animal Charity Evaluators,We Animals Media,"$31,000.00",Movement Grants
2021,EA Animal Welfare Fund,(Anonymous),"$30,000.00","We want to advocate for fish, which is not a prioritized topic even among local animal advocates and vegetarians"
2021,EA Animal Welfare Fund,Animal Protection Organization of Nigeria,"$30,000.00",Community and corporate campaigns towards embracing cage-free egg policy in Nigeria
2021,EA Animal Welfare Fund,FÓRUM NACIONAL DE PROTEÇÃO E DEFESA ANIMAL,"$30,000.00","Proposition of a ""cage-free only"" policy in different municipalities in Brazil in colaboration with city councilors"
2021,EA Animal Welfare Fund,Cellular Agriculture Australia Ltd,"$30,000.00",Salary for a National Research Manager and six research scholarships in cellular agriculture to scale alternative proteins
2021,EA Animal Welfare Fund,Modern Agriculture Foundation,"$30,000.00",Promote the establishment of an alternative protein dedicated industrial scale co-manufacturing site (CMO)
2021,Animal Charity Evaluators,Expertise for Animals,"$30,000.00",Movement Grants
2021,Animal Charity Evaluators,Perkumpulan Sahabat Satwa Jogja,"$30,000.00",Movement Grants
2021,Animal Charity Evaluators,Sentient,"$30,000.00",Movement Grants
2021,Open Philanthropy,Mount Kenya University,"$29,886.00",Mount Kenya University — Farm Animal Welfare Science Masters Program
2021,EA Animal Welfare Fund,WANBAM,"$27,000.00","We support a global community of women, non-binary, and trans people inspired by Effective Altruism through mentoring"
2021,Animal Charity Evaluators,Anima International,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Compassion in World Farming USA,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Essere Animali,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Faunalytics,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Sinergia Animal,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Standout Charity working in China3,"$26,832.00",Recommended Charity Fund
2021,Animal Charity Evaluators,Vegetarianos Hoy,"$26,832.00",Recommended Charity Fund
2021,EA Animal Welfare Fund,Credence Institute NPC (registered non-profit company in South Africa) on behalf of Animal Advocacy Africa (currently a program of Credence Institute).,"$26,000.00",3-month salary/running cost of a pilot program connecting and helping African animal advocacy organisations with funding
2021,EA Animal Welfare Fund,Education for African Animal Welfare,"$25,510.00",We will pack cage-free information in a simple way and share it through various channels to advocate for chicken welfare
2021,EA Animal Welfare Fund,"Society for the Prevention of Cruelty to Animals (SPCA) Selangor, Malaysia","$25,000.00",12-month plant-based advocacy and campaigning and 12-month cage-free campaigning
2021,EA Animal Welfare Fund,Arba,"$25,000.00","1) Salary for one year of part-time work in economics and statistics, development of numerical data and surveys to impro"
2021,Animal Charity Evaluators,Agriculture Fairness Alliance,"$25,000.00",Movement Grants
2021,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,"$25,000.00",Movement Grants
2021,Animal Charity Evaluators,Česká Veganská Společnost,"$25,000.00",Movement Grants
2021,Animal Charity Evaluators,Southern African Faith Communities Environment Institute,"$25,000.00",Movement Grants
2021,EA Animal Welfare Fund,Alliance for Animals (Ukraine division),"$24,000.00","12-month salaries for two employees working on a cage-free eggs project, ""Spread wings"", in Ukraine"
2021,Animal Charity Evaluators,Veg Student Alliance,"$24,000.00",Movement Grants
2021,Animal Charity Evaluators,World Day for the End of Fishing,"$24,000.00",Movement Grants
2021,Animal Charity Evaluators,UK Centre for Animal Law,"$23,000.00",Movement Grants
2021,Animal Charity Evaluators,Associação Vegetariana Portuguesa,"$22,000.00",Movement Grants
2021,EA Animal Welfare Fund,Faunalytics,"$21,000.00","Meta-analysis looking for substitution effects during animal product reduction efforts, especially for chicken and fish"
2021,EA Animal Welfare Fund,Sociedade Vegetariana Brasileira,"$20,000.00",Meat reduction in public services of two Brazilian cities
2021,EA Animal Welfare Fund,(Anonymous),"$20,000.00",Research on wild animal welfare rhetoric
2021,Animal Charity Evaluators,Animal Law Europe,"$20,000.00",Movement Grants
2021,Animal Charity Evaluators,Cellular Agriculture Australia,"$20,000.00",Movement Grants
2021,Animal Charity Evaluators,Peace Advocacy Network,"$20,000.00",Movement Grants
2021,EA Animal Welfare Fund,Protección Animal Ecuador,"$18,000.00",12-month salary to hire a lawyer to establish the legal base of the banning of cage systems in Ecuador
2021,Animal Charity Evaluators,Menú por el Planeta,"$18,000.00",Movement Grants
2021,EA Animal Welfare Fund,WellBeing International,"$15,120.00",Produce a comprehensive scholarly review of invertebrate sentience and promote it globally via webinars and social media
2021,Open Philanthropy,Faunalytics,"$15,000.00",Faunalytics — Farm Animal Welfare Goal Setting and Impact Tracking
2021,EA Animal Welfare Fund,Environment & Animal Society of Taiwan (EAST),"$15,000.00",Three additional mini-grants for student teams to launch their own innovative cage-free campaigns in Taiwan
2021,Animal Charity Evaluators,Vegan Caribbean Kickstart,"$15,000.00",Movement Grants
2021,EA Animal Welfare Fund,(Anonymous),"$12,000.00","6-month part-time salary to create compelling stories for the welfare of fish, crustaceans and chickens"
2021,EA Animal Welfare Fund,Daniel Grimwade,"$12,000.00",640 hours of salary to research actions that could reduce the number of fish/insects killed for fish feed
2021,EA Animal Welfare Fund,Fish Welfare Initiative,"$10,000.00",Six months of strategic consultancy/coaching for four members of our team
2021,EA Animal Welfare Fund,Animal Friends Jogja (AFJ),"$10,000.00",A 12-month salary for a government advocacy officer to concentrate full-time on Cage Free legislative change advocacy
2021,EA Animal Welfare Fund,Andrew Fisher,"$10,000.00",3-month salary to conduct research on ways to improve welfare of urban vertebrate wild animals (in sub-Saharan Africa)
2021,Animal Charity Evaluators,Asociación para el Rescate y Bienestar de Los Animales,"$10,000.00",Movement Grants
2021,Animal Charity Evaluators,Asociația de Conștientizare a Industriei Agricole,"$10,000.00",Movement Grants
2021,Animal Charity Evaluators,Demissew Bekele,"$10,000.00",Movement Grants
2021,Animal Charity Evaluators,Rostlinně,"$10,000.00",Movement Grants
2021,EA Animal Welfare Fund,Che Green,"$7,500.00",150 hours of research and writing on methods to reduce urban rat/mice populations and alternatives to mitigate suffering
2021,EA Animal Welfare Fund,Nicolas Delon,"$6,800.00",Research support and summer salary to review neglected and tractable issues concerning urban animal welfare
2021,EA Animal Welfare Fund,Lu Chen,"$4,700.00",Support conducting the first conference session on fish welfare in China enabling future advocacy and my career entry
2021,Animal Charity Evaluators,Shamayim: Jewish Animal Advocacy,"$4,000.00",Movement Grants
2020,Open Philanthropy,The Humane League,"$3,600,000.00",The Humane League — Open Wing Alliance (2020)
2020,Open Philanthropy,Animal Equality,"$1,901,000.00",Animal Equality — Cage-Free and Broiler Welfare
2020,Open Philanthropy,L214,"$1,642,046.00",L214 — Broiler Welfare Campaigns in France (2020)
2020,Open Philanthropy,Compassion in World Farming,"$1,391,971.00",Compassion in World Farming — Farm Animal Welfare in Asia
2020,Open Philanthropy,Rethink Priorities,"$910,000.00",Rethink Priorities — Farm Animal Welfare Research (2020)
2020,Open Philanthropy,theguardian.org,"$900,000.00",theguardian.org — Journalism on Factory Farming and Animal Cruelty (2020)
2020,Open Philanthropy,Sinergia Animal,"$800,000.00",Sinergia Animal — Corporate Cage-Free Campaigns
2020,Open Philanthropy,Center for Welfare Metrics,"$784,586.00",Center for Welfare Metrics — Impacts of Animal Welfare Reforms (2020)
2020,Open Philanthropy,Group Nine Media,"$680,448.00",Group Nine Media — Factory Farming Videos (2020)
2020,Open Philanthropy,Animal Charity Evaluators,"$650,000.00",Animal Charity Evaluators — General Support (2020)
2020,Open Philanthropy,Eurogroup for Animals,"$635,000.00",Eurogroup for Animals — EU Chicken Welfare Advocacy (2020)
2020,Open Philanthropy,fair-fish international association,"$630,370.00",fair-fish international association — General Support
2020,Open Philanthropy,Environment & Animal Society of Taiwan,"$521,000.00",Environment & Animal Society of Taiwan — Farm Animal Welfare Campaigns
2020,Open Philanthropy,We Animals Media,"$517,000.00",We Animals Media — Content for Farm Animal Welfare Advocacy (2020)
2020,Open Philanthropy,The Humane League-UK,"$507,900.00",The Humane League-UK — General Support
2020,Open Philanthropy,Foundation for Food and Agriculture Research,"$500,000.00",Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2020)
2020,Open Philanthropy,Conservative Animal Welfare Foundation,"$488,467.00",Conservative Animal Welfare Foundation — Farm Animal Welfare Advocacy
2020,Open Philanthropy,Essere Animali,"$462,974.00",Essere Animali — Farm Animal Welfare Work in Italy (2020)
2020,Open Philanthropy,Catalyst,"$447,000.00",Catalyst — Farm Animal Welfare i﻿n Thailand
2020,Open Philanthropy,Foundation for Food and Agriculture Research,"$444,000.00",Foundation for Food and Agriculture Research — Chickpea and Corn Zein Research
2020,Open Philanthropy,Animal Advocacy Careers,"$432,000.00",Animal Advocacy Careers — General Support
2020,Open Philanthropy,Royal Society for the Prevention of Cruelty to Animals,"$425,000.00",Royal Society for the Prevention of Cruelty to Animals — Broiler Chicken Welfare Outreach
2020,Open Philanthropy,University of Bern,"$410,000.00",University of Bern — Layer Hen Breeding Research
2020,Open Philanthropy,World Animal Protection,"$400,000.00",World Animal Protection — Farm Animal Welfare in Southeast Asia
2020,Open Philanthropy,Soko Tierschutz,"$297,291.00",Soko Tierschutz — Factory Farm Investigations (2020)
2020,Open Philanthropy,Animal Nepal,"$271,700.00",Animal Nepal — Farm Animal Welfare
2020,Open Philanthropy,Charity Entrepreneurship,"$260,000.00",Charity Entrepreneurship — Development of New Animal Welfare Charities (2020)
2020,Open Philanthropy,International Society for Applied Ethology,"$229,830.00",International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020)
2020,Open Philanthropy,Material Innovation Initiative,"$200,000.00",Material Innovation Initiative — Plant-Based Fashion Alternatives
2020,Open Philanthropy,Food Frontier,"$200,000.00",Food Frontier — Plant-Based Meat Alternatives
2020,Open Philanthropy,Encompass,"$200,000.00",Encompass — Diversity in the Farm Animal Welfare Movement
2020,Open Philanthropy,University of Missouri,"$189,000.00",University of Missouri — Animal Welfare Research
2020,Open Philanthropy,,"$156,781.00",Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research
2020,Open Philanthropy,Dharma Voices for Animals,"$150,000.00",Dharma Voices for Animals — Farm Animal Welfare Legislation
2020,Open Philanthropy,Equalia,"$150,000.00",Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations
2020,Open Philanthropy,Alianima,"$130,000.00",Alianima — General Support
2020,Animal Charity Evaluators,Albert Schweitzer Foundation,"$110,448.79",Recommended Charity Fund
2020,Animal Charity Evaluators,The Good Food Institute,"$110,448.79",Recommended Charity Fund
2020,Animal Charity Evaluators,The Humane League,"$110,448.79",Recommended Charity Fund
2020,Animal Charity Evaluators,Wild Animal Initiative,"$110,448.79",Recommended Charity Fund
2020,Open Philanthropy,University of Glasgow,"$109,552.00",University of Glasgow — Animal Welfare Research
2020,Open Philanthropy,VegeProject,"$102,400.00",VegeProject — Corporate Outreach (2020)
2020,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,"$100,000.00",Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2020)
2020,Open Philanthropy,New York University,"$95,000.00",New York University — Work on Fish Welfare (2020)
2020,Open Philanthropy,GLOBALG.A.P.,"$90,554.00",GLOBALG.A.P. — Fish Welfare Standards
2020,Open Philanthropy,Compassion in World Farming USA,"$78,750.00",Compassion in World Farming USA — Global EggTrack Program
2020,Open Philanthropy,Animal Friends Jogja,"$78,000.00",Animal Friends Jogja — Farm Animal Welfare Work
2020,Open Philanthropy,The Pollination Project,"$75,800.00",The Pollination Project — Farm Animal and Veg Advocacy Conference
2020,Open Philanthropy,"Animal Welfare Awareness, Research, and Education","$64,600.00","Animal Welfare Awareness, Research, and Education — Farm Animal Welfare Work"
2020,Open Philanthropy,Humane Society International,"$60,000.00",Humane Society International — African Swine Fever Training (2020)
2020,Animal Charity Evaluators,Anima International,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Compassion in World Farming USA,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Essere Animali,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Faunalytics,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Sinergia Animal,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Standout Charity working in China4,"$59,996.87",Recommended Charity Fund
2020,Animal Charity Evaluators,Vegetarianos Hoy,"$59,996.87",Recommended Charity Fund
2020,Open Philanthropy,Animal Outlook,"$44,200.00",Animal Outlook — Factory Farm Investigations Media Coverage
2020,Open Philanthropy,Impact Alliance,"$40,000.00",Impact Alliance — Cage-Free Program
2020,Animal Charity Evaluators,xiaobuVEGAN,"$40,000.00",Movement Grants
2020,Open Philanthropy,World Animal Net,"$37,600.00",World Animal Net — Broiler Chicken and Pig Welfare Guidelines
2020,Animal Charity Evaluators,Encompass,"$35,000.00",Movement Grants
2020,Animal Charity Evaluators,Rethink Priorities,"$35,000.00",Movement Grants
2020,Animal Charity Evaluators,Vegans of Shanghai,"$35,000.00",Movement Grants
2020,Animal Charity Evaluators,Aquatic Animals Alliance,"$30,000.00",Movement Grants
2020,Animal Charity Evaluators,Aquatic Life Institute,"$30,000.00",Movement Grants
2020,Animal Charity Evaluators,Wild Animal Initiative,"$30,000.00",Movement Grants
2020,Animal Charity Evaluators,Counterfactual Institute,"$27,500.00",Movement Grants
2020,Animal Charity Evaluators,Material Innovation Initiative,"$25,000.00",Movement Grants
2020,Animal Charity Evaluators,Vegetarianos Hoy,"$25,000.00",Movement Grants
2020,Open Philanthropy,Vegan Women Summit,"$20,000.00",Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition
2020,Animal Charity Evaluators,Sentient,"$20,000.00",Movement Grants
2020,Animal Charity Evaluators,Strategies for Ethical and Environmental Development,"$19,000.00",Movement Grants
2020,Animal Charity Evaluators,Albert Schweitzer Foundation,"$17,744.00",Recommended Charity Fund
2020,Animal Charity Evaluators,Anima International,"$17,744.00",Recommended Charity Fund
2020,Animal Charity Evaluators,The Good Food Institute,"$17,744.00",Recommended Charity Fund
2020,Animal Charity Evaluators,The Humane League,"$17,744.00",Recommended Charity Fund
2020,Open Philanthropy,Commonwealth Veterinary Association,"$15,000.00",Commonwealth Veterinary Association — Farm Animal Welfare
2020,Animal Charity Evaluators,Animal Justice Project,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,Dansk Vegetarisk Forening,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,Essere Animali,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,People For Animals Uttarakhand,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,Modern Agriculture Foundation,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,Nonhuman Rights Project,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,UK Centre for Animal Law,"$15,000.00",Movement Grants
2020,Animal Charity Evaluators,Compassion in World Farming USA,"$14,195.00",Recommended Charity Fund
2020,Animal Charity Evaluators,Faunalytics,"$14,195.00",Recommended Charity Fund
2020,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),"$14,195.00",Recommended Charity Fund
2020,Animal Charity Evaluators,Sinergia Animal,"$14,195.00",Recommended Charity Fund
2020,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,"$14,195.00",Recommended Charity Fund
2020,Open Philanthropy,Reducetarian Foundation,"$14,190.00",Reducetarian Foundation — Fish Consumption Messaging Research
2020,Animal Charity Evaluators,Dyrevernalliansen,"$12,000.00",Movement Grants
2020,Animal Charity Evaluators,Freedom and Respect for Everything Earthling,"$12,000.00",Movement Grants
2020,Animal Charity Evaluators,The Greenfield Project,"$11,250.00",Movement Grants
2020,Animal Charity Evaluators,Augi & Draugi,"$11,245.00",Movement Grants
2020,Animal Charity Evaluators,Black VegFest,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Coalition of African Animal Welfare Organisations,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Factory Farming Awareness Coalition,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Perla Anerol Sifuentes García,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Reimagine Agriculture,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Rostlinně,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,The Animal House Jamaica,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Vegan Carribean Kickstart,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Vegan Outreach,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Animal Advocacy Careers,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Animal Justice,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Associação Vegetariana Portuguesa,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,Center for Animal Law Studies,"$10,000.00",Movement Grants
2020,Animal Charity Evaluators,World Day for the End of Fishing,"$10,000.00",Movement Grants
2020,Open Philanthropy,Vegan Women Summit,"$5,000.00",Vegan Women Summit — General Support
2020,Animal Charity Evaluators,Arvind Animal Activist,"$5,000.00",Movement Grants
2020,Animal Charity Evaluators,Christopher Sebastian McJetters,"$5,000.00",Movement Grants
2020,Animal Charity Evaluators,Réseau Sentience,"$5,000.00",Movement Grants
2020,Animal Charity Evaluators,VivaBiH,"$5,000.00",Movement Grants
2020,Animal Charity Evaluators,Menú por el Planeta,"$4,000.00",Movement Grants
2020,Animal Charity Evaluators,SHAMAYIM: Jewish Animal Advocacy,"$4,000.00",Movement Grants
2019,Open Philanthropy,Mercy For Animals,"$6,638,000.00",Mercy For Animals — Corporate Campaigns (2019)
2019,Open Philanthropy,The Good Food Institute,"$4,000,000.00",The Good Food Institute — International Work
2019,Open Philanthropy,Compassion in World Farming,"$2,169,429.00",Compassion in World Farming — Fish Welfare and Efforts to End Cages (2019)
2019,Open Philanthropy,Anima International,"$1,700,000.00",Anima International — Chicken Welfare Campaigns (2019)
2019,Open Philanthropy,Albert Schweitzer Foundation,"$1,600,000.00",Albert Schweitzer Foundation — General Support (2019)
2019,Open Philanthropy,The Humane League,"$1,565,000.00",The Humane League — Open Wing Alliance (2019)
2019,Open Philanthropy,Humane Society International India,"$1,039,124.00",Humane Society International India — Animal Welfare Reform (2019)
2019,Open Philanthropy,Global Animal Partnership,"$1,000,000.00",Global Animal Partnership — Farm Animal Welfare Activities (2019)
2019,Open Philanthropy,World Animal Protection,"$781,498.00",World Animal Protection — Broiler Chicken Welfare (April 2019)
2019,Open Philanthropy,The Humane League,"$750,000.00",The Humane League — Broiler Welfare Campaigns
2019,Open Philanthropy,"University of California, Berkeley","$700,000.00",UC Berkeley — Alternative Meats Lab (October 2019)
2019,Open Philanthropy,Eurogroup for Animals,"$700,000.00",Eurogroup for Animals — European Union Trade Strategy
